,start row,start col,chr1,chr2,stop row,stop col
0,22500000,0,15,X,22750000,250000
1,22500000,250000,15,X,22750000,500000
2,28750000,50000000,15,X,29000000,50250000
3,28750000,50250000,15,X,29000000,50500000
4,23250000,41000000,15,X,23500000,41250000
5,23250000,41250000,15,X,23500000,41500000
6,30500000,7500000,15,X,30750000,7750000
7,32500000,20000000,15,X,32750000,20250000
8,32500000,20250000,15,X,32750000,20500000
9,28750000,116750000,15,X,29000000,117000000
10,28750000,117000000,15,X,29000000,117250000
