,start row,start col,chr1,chr2,stop row,stop col
0,48000000,250000,22,X,48250000,500000
1,48000000,500000,22,X,48250000,750000
2,48000000,750000,22,X,48250000,1000000
3,48000000,1000000,22,X,48250000,1250000
4,48000000,1250000,22,X,48250000,1500000
5,48250000,250000,22,X,48500000,500000
6,48250000,500000,22,X,48500000,750000
7,48250000,750000,22,X,48500000,1000000
8,48250000,1000000,22,X,48500000,1250000
9,48250000,1250000,22,X,48500000,1500000
10,48500000,250000,22,X,48750000,500000
11,48500000,500000,22,X,48750000,750000
12,48500000,750000,22,X,48750000,1000000
13,48500000,1000000,22,X,48750000,1250000
14,48500000,1250000,22,X,48750000,1500000
15,48750000,250000,22,X,49000000,500000
16,48750000,500000,22,X,49000000,750000
17,48750000,750000,22,X,49000000,1000000
18,48750000,1000000,22,X,49000000,1250000
19,48750000,1250000,22,X,49000000,1500000
20,49000000,250000,22,X,49250000,500000
21,49000000,500000,22,X,49250000,750000
22,49000000,750000,22,X,49250000,1000000
23,49000000,1000000,22,X,49250000,1250000
24,49000000,1250000,22,X,49250000,1500000
25,49250000,250000,22,X,49500000,500000
26,49250000,500000,22,X,49500000,750000
27,49250000,750000,22,X,49500000,1000000
28,49250000,1000000,22,X,49500000,1250000
29,49250000,1250000,22,X,49500000,1500000
30,49500000,250000,22,X,49750000,500000
31,49500000,500000,22,X,49750000,750000
32,49500000,750000,22,X,49750000,1000000
33,49500000,1000000,22,X,49750000,1250000
34,49500000,1250000,22,X,49750000,1500000
35,49750000,250000,22,X,50000000,500000
36,49750000,500000,22,X,50000000,750000
37,49750000,750000,22,X,50000000,1000000
38,49750000,1000000,22,X,50000000,1250000
39,49750000,1250000,22,X,50000000,1500000
