,start col,start row,stop col,score,avg,stop row,column size,row size,sqrt(k*l)*avg
0,500000.0,38500000,4500000.0,971.164443108,1.83412947827,48250000,17.0,40.0,47.8282452248
1,250000.0,78000000,4500000.0,858.75554536,2.87609360569,81000000,18.0,13.0,43.995772255
2,250000.0,0,4500000.0,268.537487172,2.12227838957,2000000,18.0,9.0,27.012193935
3,250000.0,36250000,4500000.0,183.121290195,1.85773601242,38250000,18.0,9.0,23.6451191767
4,45250000.0,36500000,50000000.0,176.584385617,1.04470237764,44000000,20.0,31.0,26.0128794228
5,45250000.0,78000000,50250000.0,151.336757325,1.40173695598,81000000,21.0,13.0,23.1604955214
6,500000.0,73250000,4500000.0,114.702187217,1.33758341053,76750000,17.0,15.0,21.3594941872
7,17250000.0,78000000,19000000.0,70.0661918198,1.70802038036,81000000,8.0,13.0,17.4184584981
8,45250000.0,44750000,50250000.0,52.9281756955,1.03249686509,48500000,21.0,16.0,18.9259801563
9,10250000.0,78000000,11250000.0,48.7946512073,1.92182519162,81000000,5.0,13.0,15.494250042
10,17000000.0,39750000,19000000.0,47.37561994,1.07461950427,48750000,9.0,37.0,19.6099657647
11,17000000.0,250000,19250000.0,25.1292295947,1.49131093372,2250000,10.0,9.0,14.1478177502
12,5000000.0,77750000,5750000.0,24.5975619256,1.84406295407,81000000,4.0,14.0,13.7997035475
13,750000.0,61500000,4500000.0,24.5735189557,1.48149212934,62750000,16.0,6.0,14.5155990993
14,10000000.0,500000,11250000.0,22.2000211017,1.91260558696,2000000,6.0,7.0,12.3951008674
