,start row,start col,chr1,chr2,stop row,stop col
0,0,0,8,X,250000,250000
1,0,250000,8,X,250000,500000
2,0,500000,8,X,250000,750000
3,0,750000,8,X,250000,1000000
4,0,1000000,8,X,250000,1250000
5,0,1250000,8,X,250000,1500000
6,250000,0,8,X,500000,250000
7,250000,250000,8,X,500000,500000
8,250000,500000,8,X,500000,750000
9,250000,750000,8,X,500000,1000000
10,250000,1000000,8,X,500000,1250000
11,250000,1250000,8,X,500000,1500000
12,500000,0,8,X,750000,250000
13,500000,250000,8,X,750000,500000
14,500000,500000,8,X,750000,750000
15,500000,750000,8,X,750000,1000000
16,500000,1000000,8,X,750000,1250000
17,500000,1250000,8,X,750000,1500000
18,750000,0,8,X,1000000,250000
19,750000,250000,8,X,1000000,500000
20,750000,500000,8,X,1000000,750000
21,750000,750000,8,X,1000000,1000000
22,750000,1000000,8,X,1000000,1250000
23,750000,1250000,8,X,1000000,1500000
24,1000000,0,8,X,1250000,250000
25,1000000,250000,8,X,1250000,500000
26,1000000,500000,8,X,1250000,750000
27,1000000,750000,8,X,1250000,1000000
28,1000000,1000000,8,X,1250000,1250000
29,1000000,1250000,8,X,1250000,1500000
30,1250000,0,8,X,1500000,250000
31,1250000,250000,8,X,1500000,500000
32,1250000,500000,8,X,1500000,750000
33,1250000,750000,8,X,1500000,1000000
34,1250000,1000000,8,X,1500000,1250000
35,1250000,1250000,8,X,1500000,1500000
36,1500000,0,8,X,1750000,250000
37,1500000,250000,8,X,1750000,500000
38,1500000,500000,8,X,1750000,750000
39,1500000,750000,8,X,1750000,1000000
40,1500000,1000000,8,X,1750000,1250000
41,1500000,1250000,8,X,1750000,1500000
42,146250000,0,8,X,146500000,250000
43,146250000,250000,8,X,146500000,500000
