,start row,start col,chr1,chr2,stop row,stop col
0,74500000,136750000,7,X,74750000,137000000
1,143250000,22500000,7,X,143500000,22750000
2,143250000,22750000,7,X,143500000,23000000
3,143250000,23000000,7,X,143500000,23250000
4,157250000,0,7,X,157500000,250000
5,157250000,250000,7,X,157500000,500000
6,157250000,500000,7,X,157500000,750000
7,157250000,750000,7,X,157500000,1000000
8,157500000,0,7,X,157750000,250000
9,157500000,250000,7,X,157750000,500000
10,157500000,500000,7,X,157750000,750000
11,157500000,750000,7,X,157750000,1000000
12,157750000,0,7,X,158000000,250000
13,157750000,250000,7,X,158000000,500000
14,157750000,500000,7,X,158000000,750000
15,157750000,750000,7,X,158000000,1000000
16,158000000,0,7,X,158250000,250000
17,158000000,250000,7,X,158250000,500000
18,158000000,500000,7,X,158250000,750000
19,158000000,750000,7,X,158250000,1000000
20,158250000,0,7,X,158500000,250000
21,158250000,250000,7,X,158500000,500000
22,158250000,500000,7,X,158500000,750000
23,158250000,750000,7,X,158500000,1000000
24,158500000,0,7,X,158750000,250000
25,158500000,250000,7,X,158750000,500000
26,158500000,500000,7,X,158750000,750000
27,158500000,750000,7,X,158750000,1000000
28,158750000,0,7,X,159000000,250000
29,158750000,250000,7,X,159000000,500000
30,158750000,500000,7,X,159000000,750000
31,158750000,750000,7,X,159000000,1000000
32,159000000,0,7,X,159250000,250000
33,159000000,250000,7,X,159250000,500000
34,159000000,500000,7,X,159250000,750000
35,159000000,750000,7,X,159250000,1000000
36,126000000,91000000,7,X,126250000,91250000
37,126250000,91000000,7,X,126500000,91250000
38,74500000,27750000,7,X,74750000,28000000
