,start col,start row,stop col,score,avg,stop row,column size,row size,sqrt(k*l)*avg
0,75500000.0,68000000,75750000.0,40.7300879204,7.38840914513,68000000,2.0,1.0,10.4487884174
1,12000000.0,69250000,12250000.0,47.9687732626,7.85916839766,69250000,2.0,1.0,11.1145425369
2,43500000.0,40750000,43750000.0,37.366973971,7.15935743233,40750000,2.0,1.0,10.1248603787
3,47250000.0,69000000,47750000.0,35.8167517639,6.01768877362,69000000,3.0,1.0,10.4229427
4,41000000.0,40750000,41000000.0,31.2722009151,8.96998806118,40750000,1.0,1.0,8.96998806118
5,51250000.0,44000000,51250000.0,28.1264232661,6.53432417443,44250000,1.0,2.0,9.24092986842
6,51000000.0,43750000,51000000.0,32.9438408907,9.15230293097,43750000,1.0,1.0,9.15230293097
7,37750000.0,43250000,38000000.0,23.1625613559,6.09988933245,43250000,2.0,1.0,8.62654622293
8,40000000.0,68500000,40000000.0,31.2526095911,8.96782990139,68500000,1.0,1.0,8.96782990139
9,31250000.0,43750000,31250000.0,23.0401818666,8.01350557341,43750000,1.0,1.0,8.01350557341
10,58500000.0,40500000,58500000.0,24.9096784147,8.24020901234,40500000,1.0,1.0,8.24020901234
11,75500000.0,68750000,75500000.0,22.5778789519,7.95647743388,68750000,1.0,1.0,7.95647743388
12,76500000.0,68500000,76500000.0,26.155306673,8.38795094468,68500000,1.0,1.0,8.38795094468
