,start col,start row,stop col,score,avg,stop row,column size,row size,sqrt(k*l)*avg
0,37750000.0,21250000,47500000.0,845.554287795,1.39156370311,28000000,40.0,28.0,46.5706289907
1,73250000.0,20750000,81000000.0,519.02684069,1.24872620446,28000000,32.0,30.0,38.6903663508
2,78250000.0,750000,81000000.0,124.140417186,2.84232011766,1500000,12.0,4.0,19.6921714206
3,38500000.0,201250000,48250000.0,104.856100797,1.16880339282,203500000,40.0,10.0,23.3760678564
4,73000000.0,201000000,81000000.0,60.042081009,1.09749633113,203500000,33.0,11.0,20.910113473
5,60750000.0,21500000,62500000.0,53.0345235524,1.36852988452,28250000,8.0,28.0,20.4822798057
6,78000000.0,8000000,81000000.0,48.0310916996,1.52192906841,10250000,13.0,10.0,17.3526612255
7,18500000.0,0,18500000.0,44.7649215648,10.4099733996,0,1.0,1.0,10.4099733996
8,44500000.0,82750000,44500000.0,33.1964199922,9.24463515805,82750000,1.0,1.0,9.24463515805
9,44500000.0,183000000,44500000.0,32.3926064805,9.15827516307,183000000,1.0,1.0,9.15827516307
10,44500000.0,177250000,44500000.0,31.0022819157,9.00699203343,177250000,1.0,1.0,9.00699203343
11,44500000.0,77000000,44500000.0,28.5562695994,8.73463340771,77000000,1.0,1.0,8.73463340771
12,80500000.0,0,80750000.0,29.4798541998,6.63983386107,0,2.0,1.0,9.39014309823
13,44500000.0,249000000,44500000.0,26.5605342437,8.50611726973,249000000,1.0,1.0,8.50611726973
14,44500000.0,229750000,44500000.0,25.2695840868,8.3550597315,229750000,1.0,1.0,8.3550597315
15,19000000.0,148000000,19000000.0,25.8036325516,8.4178702441,148000000,1.0,1.0,8.4178702441
16,37500000.0,143750000,37750000.0,25.2352307126,6.3159834058,143750000,2.0,1.0,8.93214939221
17,44500000.0,97000000,44500000.0,24.5308253997,8.26740755626,97000000,1.0,1.0,8.26740755626
18,44500000.0,227500000,44500000.0,23.7135402817,8.16937304037,227500000,1.0,1.0,8.16937304037
19,18250000.0,145750000,18250000.0,22.3332497767,8.00115626042,145750000,1.0,1.0,8.00115626042
20,18500000.0,149500000,18500000.0,22.0689198572,7.9685488546,149500000,1.0,1.0,7.9685488546
