,start row,start col,chr1,chr2,stop row,stop col
0,46250000,151750000,10,X,46500000,152000000
1,8750000,91000000,10,X,9000000,91250000
2,9000000,91000000,10,X,9250000,91250000
3,9250000,91000000,10,X,9500000,91250000
4,132000000,250000,10,X,132250000,500000
5,132000000,500000,10,X,132250000,750000
6,132000000,750000,10,X,132250000,1000000
7,132250000,250000,10,X,132500000,500000
8,132250000,500000,10,X,132500000,750000
9,132250000,750000,10,X,132500000,1000000
10,132500000,250000,10,X,132750000,500000
11,132500000,500000,10,X,132750000,750000
12,132500000,750000,10,X,132750000,1000000
13,132750000,250000,10,X,133000000,500000
14,132750000,500000,10,X,133000000,750000
15,132750000,750000,10,X,133000000,1000000
16,133000000,250000,10,X,133250000,500000
17,133000000,500000,10,X,133250000,750000
18,133000000,750000,10,X,133250000,1000000
19,133250000,250000,10,X,133500000,500000
20,133250000,500000,10,X,133500000,750000
21,133250000,750000,10,X,133500000,1000000
22,133500000,250000,10,X,133750000,500000
23,133500000,500000,10,X,133750000,750000
24,133500000,750000,10,X,133750000,1000000
25,46250000,104000000,10,X,46500000,104250000
26,8000000,101500000,10,X,8250000,101750000
27,8250000,101500000,10,X,8500000,101750000
28,46250000,26000000,10,X,46500000,26250000
