,start row,start col,chr1,chr2,stop row,stop col
0,88000000,144750000,2,X,88250000,145000000
1,88000000,145000000,2,X,88250000,145250000
2,87250000,101500000,2,X,87500000,101750000
3,88000000,142250000,2,X,88250000,142500000
4,88000000,142500000,2,X,88250000,142750000
5,88000000,143500000,2,X,88250000,143750000
6,88000000,130250000,2,X,88250000,130500000
7,194750000,91000000,2,X,195000000,91250000
8,195000000,91000000,2,X,195250000,91250000
9,88000000,140750000,2,X,88250000,141000000
10,87750000,27000000,2,X,88000000,27250000
11,88000000,27000000,2,X,88250000,27250000
12,88000000,117000000,2,X,88250000,117250000
13,88000000,117250000,2,X,88250000,117500000
14,88000000,153000000,2,X,88250000,153250000
15,88000000,153250000,2,X,88250000,153500000
