,start row,start col,chr1,chr2,stop row,stop col
0,500000,153250000,1,X,750000,153500000
1,500000,153500000,1,X,750000,153750000
2,500000,153750000,1,X,750000,154000000
3,750000,153250000,1,X,1000000,153500000
4,750000,153500000,1,X,1000000,153750000
5,750000,153750000,1,X,1000000,154000000
6,146250000,152250000,1,X,146500000,152500000
7,88500000,101500000,1,X,88750000,101750000
8,88750000,101500000,1,X,89000000,101750000
9,143750000,140750000,1,X,144000000,141000000
10,0,38750000,1,X,250000,39000000
11,0,151750000,1,X,250000,152000000
12,146250000,132000000,1,X,146500000,132250000
13,146250000,132250000,1,X,146500000,132500000
14,0,68500000,1,X,250000,68750000
15,0,20500000,1,X,250000,20750000
