,start row,start col,chr1,chr2,stop row,stop col
0,128250000,0,12,X,128500000,250000
1,128250000,250000,12,X,128500000,500000
2,128250000,500000,12,X,128500000,750000
3,128250000,750000,12,X,128500000,1000000
4,128250000,1000000,12,X,128500000,1250000
5,128250000,1250000,12,X,128500000,1500000
6,128250000,1500000,12,X,128500000,1750000
7,128500000,0,12,X,128750000,250000
8,128500000,250000,12,X,128750000,500000
9,128500000,500000,12,X,128750000,750000
10,128500000,750000,12,X,128750000,1000000
11,128500000,1000000,12,X,128750000,1250000
12,128500000,1250000,12,X,128750000,1500000
13,128500000,1500000,12,X,128750000,1750000
14,128750000,0,12,X,129000000,250000
15,128750000,250000,12,X,129000000,500000
16,128750000,500000,12,X,129000000,750000
17,128750000,750000,12,X,129000000,1000000
18,128750000,1000000,12,X,129000000,1250000
19,128750000,1250000,12,X,129000000,1500000
20,128750000,1500000,12,X,129000000,1750000
21,129000000,0,12,X,129250000,250000
22,129000000,250000,12,X,129250000,500000
23,129000000,500000,12,X,129250000,750000
24,129000000,750000,12,X,129250000,1000000
25,129000000,1000000,12,X,129250000,1250000
26,129000000,1250000,12,X,129250000,1500000
27,129000000,1500000,12,X,129250000,1750000
28,129250000,0,12,X,129500000,250000
29,129250000,250000,12,X,129500000,500000
30,129250000,500000,12,X,129500000,750000
31,129250000,750000,12,X,129500000,1000000
32,129250000,1000000,12,X,129500000,1250000
33,129250000,1250000,12,X,129500000,1500000
34,129250000,1500000,12,X,129500000,1750000
35,129500000,0,12,X,129750000,250000
36,129500000,250000,12,X,129750000,500000
37,129500000,500000,12,X,129750000,750000
38,129500000,750000,12,X,129750000,1000000
39,129500000,1000000,12,X,129750000,1250000
40,129500000,1250000,12,X,129750000,1500000
41,129500000,1500000,12,X,129750000,1750000
42,129750000,0,12,X,130000000,250000
43,129750000,250000,12,X,130000000,500000
44,129750000,500000,12,X,130000000,750000
45,129750000,750000,12,X,130000000,1000000
46,129750000,1000000,12,X,130000000,1250000
47,129750000,1250000,12,X,130000000,1500000
48,129750000,1500000,12,X,130000000,1750000
49,130000000,0,12,X,130250000,250000
50,130000000,250000,12,X,130250000,500000
51,130000000,500000,12,X,130250000,750000
52,130000000,750000,12,X,130250000,1000000
53,130000000,1000000,12,X,130250000,1250000
54,130000000,1250000,12,X,130250000,1500000
55,130000000,1500000,12,X,130250000,1750000
56,130250000,0,12,X,130500000,250000
57,130250000,250000,12,X,130500000,500000
58,130250000,500000,12,X,130500000,750000
59,130250000,750000,12,X,130500000,1000000
60,130250000,1000000,12,X,130500000,1250000
61,130250000,1250000,12,X,130500000,1500000
62,130250000,1500000,12,X,130500000,1750000
63,130500000,0,12,X,130750000,250000
64,130500000,250000,12,X,130750000,500000
65,130500000,500000,12,X,130750000,750000
66,130500000,750000,12,X,130750000,1000000
67,130500000,1000000,12,X,130750000,1250000
68,130500000,1250000,12,X,130750000,1500000
69,130500000,1500000,12,X,130750000,1750000
70,130750000,0,12,X,131000000,250000
71,130750000,250000,12,X,131000000,500000
72,130750000,500000,12,X,131000000,750000
73,130750000,750000,12,X,131000000,1000000
74,130750000,1000000,12,X,131000000,1250000
75,130750000,1250000,12,X,131000000,1500000
76,130750000,1500000,12,X,131000000,1750000
77,131000000,0,12,X,131250000,250000
78,131000000,250000,12,X,131250000,500000
79,131000000,500000,12,X,131250000,750000
80,131000000,750000,12,X,131250000,1000000
81,131000000,1000000,12,X,131250000,1250000
82,131000000,1250000,12,X,131250000,1500000
83,131000000,1500000,12,X,131250000,1750000
84,131250000,0,12,X,131500000,250000
85,131250000,250000,12,X,131500000,500000
86,131250000,500000,12,X,131500000,750000
87,131250000,750000,12,X,131500000,1000000
88,131250000,1000000,12,X,131500000,1250000
89,131250000,1250000,12,X,131500000,1500000
90,131250000,1500000,12,X,131500000,1750000
91,131500000,0,12,X,131750000,250000
92,131500000,250000,12,X,131750000,500000
93,131500000,500000,12,X,131750000,750000
94,131500000,750000,12,X,131750000,1000000
95,131500000,1000000,12,X,131750000,1250000
96,131500000,1250000,12,X,131750000,1500000
97,131500000,1500000,12,X,131750000,1750000
98,131750000,0,12,X,132000000,250000
99,131750000,250000,12,X,132000000,500000
100,131750000,500000,12,X,132000000,750000
101,131750000,750000,12,X,132000000,1000000
102,131750000,1000000,12,X,132000000,1250000
103,131750000,1250000,12,X,132000000,1500000
104,131750000,1500000,12,X,132000000,1750000
105,132000000,0,12,X,132250000,250000
106,132000000,250000,12,X,132250000,500000
107,132000000,500000,12,X,132250000,750000
108,132000000,750000,12,X,132250000,1000000
109,132000000,1000000,12,X,132250000,1250000
110,132000000,1250000,12,X,132250000,1500000
111,132000000,1500000,12,X,132250000,1750000
112,133750000,0,12,X,134000000,250000
113,133750000,250000,12,X,134000000,500000
114,133750000,500000,12,X,134000000,750000
115,133750000,750000,12,X,134000000,1000000
116,132500000,152750000,12,X,132750000,153000000
117,132500000,153000000,12,X,132750000,153250000
118,132500000,153250000,12,X,132750000,153500000
119,132500000,153500000,12,X,132750000,153750000
120,132500000,153750000,12,X,132750000,154000000
121,132750000,152750000,12,X,133000000,153000000
122,132750000,153000000,12,X,133000000,153250000
123,132750000,153250000,12,X,133000000,153500000
124,132750000,153500000,12,X,133000000,153750000
125,132750000,153750000,12,X,133000000,154000000
126,133000000,152750000,12,X,133250000,153000000
127,133000000,153000000,12,X,133250000,153250000
128,133000000,153250000,12,X,133250000,153500000
129,133000000,153500000,12,X,133250000,153750000
130,133000000,153750000,12,X,133250000,154000000
131,133250000,152750000,12,X,133500000,153000000
132,133250000,153000000,12,X,133500000,153250000
133,133250000,153250000,12,X,133500000,153500000
134,133250000,153500000,12,X,133500000,153750000
135,133250000,153750000,12,X,133500000,154000000
136,61750000,101500000,12,X,62000000,101750000
137,62000000,101500000,12,X,62250000,101750000
