,start row,start col,chr1,chr2,stop row,stop col
0,106250000,0,14,X,106500000,250000
1,106250000,250000,14,X,106500000,500000
2,106250000,500000,14,X,106500000,750000
3,106250000,750000,14,X,106500000,1000000
4,106250000,1000000,14,X,106500000,1250000
5,106250000,1250000,14,X,106500000,1500000
6,106250000,1500000,14,X,106500000,1750000
7,106500000,0,14,X,106750000,250000
8,106500000,250000,14,X,106750000,500000
9,106500000,500000,14,X,106750000,750000
10,106500000,750000,14,X,106750000,1000000
11,106500000,1000000,14,X,106750000,1250000
12,106500000,1250000,14,X,106750000,1500000
13,106500000,1500000,14,X,106750000,1750000
14,106750000,0,14,X,107000000,250000
15,106750000,250000,14,X,107000000,500000
16,106750000,500000,14,X,107000000,750000
17,106750000,750000,14,X,107000000,1000000
18,106750000,1000000,14,X,107000000,1250000
19,106750000,1250000,14,X,107000000,1500000
20,106750000,1500000,14,X,107000000,1750000
21,107000000,0,14,X,107250000,250000
22,107000000,250000,14,X,107250000,500000
23,107000000,500000,14,X,107250000,750000
24,107000000,750000,14,X,107250000,1000000
25,107000000,1000000,14,X,107250000,1250000
26,107000000,1250000,14,X,107250000,1500000
27,107000000,1500000,14,X,107250000,1750000
28,107250000,0,14,X,107500000,250000
29,107250000,250000,14,X,107500000,500000
30,107250000,500000,14,X,107500000,750000
31,107250000,750000,14,X,107500000,1000000
32,107250000,1000000,14,X,107500000,1250000
33,107250000,1250000,14,X,107500000,1500000
34,107250000,1500000,14,X,107500000,1750000
