0	0	53745.59
0	250000	15490.9
250000	250000	41577.73
0	500000	2172.0142
250000	500000	6360.0835
500000	500000	38167.316
0	750000	916.6365
250000	750000	2338.837
500000	750000	14698.04
750000	750000	36659.832
0	1000000	439.7096
250000	1000000	1400.6357
500000	1000000	5232.852
750000	1000000	10445.133
1000000	1000000	35971.387
0	1250000	276.04797
250000	1250000	671.1957
500000	1250000	1912.5698
750000	1250000	3067.6492
1000000	1250000	9717.72
1250000	1250000	38900.395
0	1500000	317.07886
250000	1500000	570.57806
500000	1500000	1917.171
750000	1500000	2955.1328
1000000	1500000	8238.734
1250000	1500000	16297.939
1500000	1500000	36102.957
0	1750000	316.27243
250000	1750000	520.70026
500000	1750000	1081.7478
750000	1750000	1277.5558
1000000	1750000	2048.964
1250000	1750000	2492.0674
1500000	1750000	5041.2954
1750000	1750000	37350.465
0	2000000	204.92783
250000	2000000	362.37097
500000	2000000	610.4976
750000	2000000	649.5735
1000000	2000000	814.38275
1250000	2000000	955.0574
1500000	2000000	1716.8441
1750000	2000000	11881.381
2000000	2000000	31225.514
0	2250000	214.31787
250000	2250000	290.21863
500000	2250000	484.50583
750000	2250000	462.38916
1000000	2250000	504.81424
1250000	2250000	565.985
1500000	2250000	989.7688
1750000	2250000	3855.032
2000000	2250000	13684.113
2250000	2250000	36274.117
0	2500000	280.17694
250000	2500000	385.85153
500000	2500000	570.33777
750000	2500000	441.98126
1000000	2500000	408.49664
1250000	2500000	489.07794
1500000	2500000	715.4634
1750000	2500000	4517.0034
2000000	2500000	8378.922
2250000	2500000	11921.005
2500000	2500000	35137.33
0	2750000	247.92741
250000	2750000	401.18167
500000	2750000	536.9307
750000	2750000	447.41638
1000000	2750000	415.38165
1250000	2750000	434.46826
1500000	2750000	568.79926
1750000	2750000	2826.6838
2000000	2750000	3441.881
2250000	2750000	3336.6484
2500000	2750000	7621.416
2750000	2750000	36429.35
0	3000000	166.38994
250000	3000000	289.3275
500000	3000000	260.2118
750000	3000000	231.45311
1000000	3000000	245.40121
1250000	3000000	224.59035
1500000	3000000	316.30362
1750000	3000000	625.3364
2000000	3000000	741.4637
2250000	3000000	843.2066
2500000	3000000	1241.3896
2750000	3000000	9505.834
3000000	3000000	36749.0
0	3250000	123.22493
250000	3250000	176.7727
500000	3250000	170.27757
